number,name
1,"Mango Chicken"
2,"Szechuan Beef"
3,"Tofu Beef"
4,"Beef Vegetables"
5,"Beef Broccoli"
6,"Yu Shiang Beef"
7,"Mongolian Beef"
8,"Bell Pepper Pork"
9,"Twice Cooked Pork"
10,"Yu Shiang Pork"
11,"Sweet and Sour Pork"
12,"Kung Pao Chicken"
13,"Yu Shiang Chicken"
14,"Orange Chicken"
15,"Curry Chicken"
16,"Chicken with Black Bean Sauce"
17,"Almond Chicken"
18,"Sweet and Sour Chicken"
19,"Chicken with Broccoli"
20,"Chicken Vegetables"
21,"Mongolian Chicken"
22,"Lemon Chicken"
23,"Sesame Chicken"
24,"Sweet and Sour Shrimp"
25,"Vegetable Shrimp"
26,"Red Chili Sauce Shrimp"
27,"Three Ingredient Seafood"
28,"Kung Pao San Yang"
29,"Chicken Salad"
30,"Combination Vegetables"
31,"Honey Walnut Prawns"
32,"XO Sauce Beef"
33,"Black Pepper Beef"
34,"Honey Walnut Chicken"
35,"Mandarin Fried Chicken"
36,"Tomato Beef"
37,"Cashew Chicken"
38,"String Bean Chicken"
39,"Asparagus chicken"
40,"Mongolian Combo"
