number,date,rating,max
1,20150106,1,5
2,20150113,4,5
3,20150120,2,5
4,20150130,3,5
5,20150203,4,5
6,20150210,4,5
7,20150217,5,5
8,20150224,3,5
9,20150303,3,5
10,20150309,3,5
11,20150311,2,5
12,20150320,4,5
13,20150325,3,5
14,20150330,4,5
15,20150403,3,5
16,20150407,4,5
17,20150415,3,5
18,20150424,3,5
19,20150504,4,5
20,20150506,2,5
21,20150512,5,5
22,20150518,1,5
23,20150522,4,5
24,20150526,3,5
25,20150605,2,5
26,20150610,4,5
27,20150616,1,5
28,20150713,5,5
29,20150717,4,5
30,20150718,2,5
31,20150720,3,5
32,20150722,4,5
33,20150828,4,5
34,20150902,1,5
35,20150904,4,5
36,20150915,3,5
37,20150922,2,5
38,20150924,4,5
39,20150929,4,5
40,20151014,4,5
